epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,473.321,2.68102,5.12506,3.91022,0,0,0,0,0,0,0,0.00332613,0.00332613,0.00332613
2,931.752,1.91678,3.90243,3.04428,0,0,0,0,0,0,0,0.00659354,0.00659354,0.00659354
3,1389.21,1.6365,3.30895,2.73636,0,0,0,0,0,0,0,0.00979494,0.00979494,0.00979494
4,1849.39,1.52202,2.88838,2.57485,0,0,0,0,0,0,0,0.009703,0.009703,0.009703
5,2309.14,1.44755,2.61375,2.48573,0,0,0,0,0,0,0,0.009604,0.009604,0.009604
6,2768.64,1.40095,2.44043,2.42837,0,0,0,0,0,0,0,0.009505,0.009505,0.009505
7,3229.16,1.36222,2.32057,2.38433,0,0,0,0,0,0,0,0.009406,0.009406,0.009406
8,3690.24,1.3304,2.23349,2.34288,0,0,0,0,0,0,0,0.009307,0.009307,0.009307
9,4148.37,1.30512,2.17025,2.31032,0,0,0,0,0,0,0,0.009208,0.009208,0.009208
10,4606.88,1.28563,2.11976,2.27909,0,0,0,0,0,0,0,0.009109,0.009109,0.009109
11,5065.64,1.26955,2.07307,2.24847,0,0,0,0,0,0,0,0.00901,0.00901,0.00901
12,5524.85,1.25681,2.03863,2.227,0,0,0,0,0,0,0,0.008911,0.008911,0.008911
13,5982.3,1.24431,2.00287,2.20731,0,0,0,0,0,0,0,0.008812,0.008812,0.008812
14,6439.88,1.23645,1.9814,2.18996,0,0,0,0,0,0,0,0.008713,0.008713,0.008713
15,6898.49,1.22676,1.95891,2.175,0,0,0,0,0,0,0,0.008614,0.008614,0.008614
16,7357.95,1.22074,1.93647,2.16273,0,0,0,0,0,0,0,0.008515,0.008515,0.008515
17,7818.34,1.21366,1.91863,2.15227,0,0,0,0,0,0,0,0.008416,0.008416,0.008416
18,8277.48,1.20913,1.9023,2.14087,0,0,0,0,0,0,0,0.008317,0.008317,0.008317
19,8735.33,1.20383,1.88806,2.13352,0,0,0,0,0,0,0,0.008218,0.008218,0.008218
20,9192.65,1.19915,1.8781,2.12353,0,0,0,0,0,0,0,0.008119,0.008119,0.008119
21,9650.43,1.19543,1.86469,2.11626,0,0,0,0,0,0,0,0.00802,0.00802,0.00802
22,10108.3,1.19017,1.84994,2.10824,0,0,0,0,0,0,0,0.007921,0.007921,0.007921
23,10566.3,1.18812,1.84249,2.10215,0,0,0,0,0,0,0,0.007822,0.007822,0.007822
24,11024.6,1.18124,1.83108,2.09451,0,0,0,0,0,0,0,0.007723,0.007723,0.007723
25,11481.5,1.18023,1.82277,2.08993,0,0,0,0,0,0,0,0.007624,0.007624,0.007624
26,11939.7,1.17583,1.80916,2.08373,0,0,0,0,0,0,0,0.007525,0.007525,0.007525
27,12398.5,1.17301,1.80412,2.07899,0,0,0,0,0,0,0,0.007426,0.007426,0.007426
28,12854.9,1.1694,1.79675,2.07298,0,0,0,0,0,0,0,0.007327,0.007327,0.007327
29,13312.6,1.16632,1.78724,2.06844,0,0,0,0,0,0,0,0.007228,0.007228,0.007228
30,13770,1.16327,1.77744,2.0646,0,0,0,0,0,0,0,0.007129,0.007129,0.007129
31,14228.1,1.16084,1.7732,2.06022,0,0,0,0,0,0,0,0.00703,0.00703,0.00703
32,14686.4,1.1597,1.76611,2.05702,0,0,0,0,0,0,0,0.006931,0.006931,0.006931
33,15144.7,1.1567,1.75701,2.05009,0,0,0,0,0,0,0,0.006832,0.006832,0.006832
34,15603.3,1.15301,1.7521,2.04759,0,0,0,0,0,0,0,0.006733,0.006733,0.006733
35,16061.3,1.15209,1.74653,2.04362,0,0,0,0,0,0,0,0.006634,0.006634,0.006634
36,16519.5,1.15074,1.74114,2.03985,0,0,0,0,0,0,0,0.006535,0.006535,0.006535
37,16978,1.14742,1.73526,2.03589,0,0,0,0,0,0,0,0.006436,0.006436,0.006436
38,17435.4,1.1461,1.72805,2.03232,0,0,0,0,0,0,0,0.006337,0.006337,0.006337
39,17892,1.14245,1.72508,2.02781,0,0,0,0,0,0,0,0.006238,0.006238,0.006238
