epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,622.593,2.93926,5.61679,4.20449,0,0,0,0,0,0,0,0.00332613,0.00332613,0.00332613
2,1230.34,2.60734,5.06798,3.66651,0,0,0,0,0,0,0,0.00659354,0.00659354,0.00659354
3,1835.92,2.25775,4.67681,3.01806,0,0,0,0,0,0,0,0.00979494,0.00979494,0.00979494
4,2443.62,2.24508,4.65805,2.96145,0,0,0,0,0,0,0,0.009703,0.009703,0.009703
5,3049.45,2.21471,4.67131,2.9143,0,0,0,0,0,0,0,0.009604,0.009604,0.009604
6,3659.8,2.20611,4.67323,2.90127,0,0,0,0,0,0,0,0.009505,0.009505,0.009505
7,4270.18,2.20418,4.66875,2.89894,0,0,0,0,0,0,0,0.009406,0.009406,0.009406
8,4878.69,2.20335,4.67165,2.89587,0,0,0,0,0,0,0,0.009307,0.009307,0.009307
9,5485.62,2.20187,4.67011,2.89661,0,0,0,0,0,0,0,0.009208,0.009208,0.009208
10,6096.12,2.19819,4.67291,2.89321,0,0,0,0,0,0,0,0.009109,0.009109,0.009109
11,6705.96,2.20011,4.6704,2.89317,0,0,0,0,0,0,0,0.00901,0.00901,0.00901
12,7314.21,2.19984,4.67105,2.89183,0,0,0,0,0,0,0,0.008911,0.008911,0.008911
13,7919.33,2.19732,4.66828,2.8929,0,0,0,0,0,0,0,0.008812,0.008812,0.008812
14,8525.61,2.19768,4.66975,2.89222,0,0,0,0,0,0,0,0.008713,0.008713,0.008713
15,9133.28,2.19793,4.66869,2.89091,0,0,0,0,0,0,0,0.008614,0.008614,0.008614
16,9743.2,2.1968,4.66731,2.88946,0,0,0,0,0,0,0,0.008515,0.008515,0.008515
17,10350.2,2.19538,4.66905,2.89099,0,0,0,0,0,0,0,0.008416,0.008416,0.008416
18,10955.3,2.19621,4.66867,2.89157,0,0,0,0,0,0,0,0.008317,0.008317,0.008317
19,11568.1,2.19722,4.67087,2.89007,0,0,0,0,0,0,0,0.008218,0.008218,0.008218
