epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,959.847,2.76685,5.13825,3.85869,0.19258,0,0,0,0,0,0,0,0,0.00998919,0.00332973,0.00998919,0.00332973,0.00998919,0.00332973,0.00998919,0.00332973
2,1902.9,2.00458,3.76056,2.73877,0.00098,0,0,0,0,0,0,0,0,0.0197913,0.0065971,0.0197913,0.0065971,0.0197913,0.0065971,0.0197913,0.0065971
3,2844.32,1.78459,3.04401,2.47104,0.00077,0,0,0,0,0,0,0,0,0.0293954,0.00979847,0.0293954,0.00979847,0.0293954,0.00979847,0.0293954,0.00979847
4,3786.87,1.79004,2.80851,2.41338,0.00073,0,0,0,0,0,0,0,0,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,4728.12,1.83623,2.7786,2.42184,0.00065,0,0,0,0,0,0,0,0,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,5667.77,2.18722,4.00435,2.62484,0.00064,0,0,0,0,0,0,0,0,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,6603.75,2.27241,4.59846,2.62923,0.00237,0,0,0,0,0,0,0,0,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,7540.86,2.2816,4.69042,2.61676,0.00336,0,0,0,0,0,0,0,0,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,8477.76,2.27406,4.69529,2.61177,0.00353,0,0,0,0,0,0,0,0,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,9414.12,2.27134,4.69443,2.60705,0.00357,0,0,0,0,0,0,0,0,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,10350.9,2.27307,4.69631,2.60664,0.00356,0,0,0,0,0,0,0,0,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,11286.7,2.27031,4.69489,2.60533,0.00347,0,0,0,0,0,0,0,0,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,12222.3,2.2707,4.69411,2.60535,0.00347,0,0,0,0,0,0,0,0,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,13159.5,2.27282,4.69618,2.60319,0.00338,0,0,0,0,0,0,0,0,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,14098.5,2.27036,4.69567,2.6038,0.00331,0,0,0,0,0,0,0,0,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,15029.1,2.26722,4.69036,2.60218,0.00321,0,0,0,0,0,0,0,0,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,15953.6,2.2679,4.69397,2.60412,0.00316,0,0,0,0,0,0,0,0,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,16878.1,2.27058,4.69341,2.60263,0.00302,0,0,0,0,0,0,0,0,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,17799.5,2.26758,4.69393,2.60224,0.00301,0,0,0,0,0,0,0,0,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,18722.8,2.26956,4.69375,2.59998,0.00291,0,0,0,0,0,0,0,0,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,19644.3,2.26689,4.69513,2.6007,0.00283,0,0,0,0,0,0,0,0,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,20567.3,2.26906,4.69326,2.60084,0.00267,0,0,0,0,0,0,0,0,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,21486.6,2.2659,4.69555,2.60098,0.0022,0,0,0,0,0,0,0,0,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,22409.1,2.26739,4.69622,2.5998,0.00257,0,0,0,0,0,0,0,0,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,23331.2,2.26709,4.69464,2.59986,0.00255,0,0,0,0,0,0,0,0,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,24252.6,2.26603,4.69417,2.59948,0.00249,0,0,0,0,0,0,0,0,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,25173.4,2.26458,4.69557,2.59995,0.00243,0,0,0,0,0,0,0,0,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,26094.2,2.2689,4.69413,2.5996,0.00235,0,0,0,0,0,0,0,0,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,27014.4,2.26737,4.69567,2.59937,0.00231,0,0,0,0,0,0,0,0,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,27934.5,2.26459,4.69677,2.59941,0.00221,0,0,0,0,0,0,0,0,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,28856.6,2.26554,4.69414,2.59979,0.00213,0,0,0,0,0,0,0,0,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,29777.4,2.26208,4.69344,2.59933,0.00203,0,0,0,0,0,0,0,0,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,30697.6,2.26401,4.69488,2.59902,0.00195,0,0,0,0,0,0,0,0,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,31619,2.26424,4.69593,2.59881,0.00191,0,0,0,0,0,0,0,0,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,32541.3,2.26521,4.69384,2.59842,0.00185,0,0,0,0,0,0,0,0,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,33461.1,2.26503,4.69126,2.59903,0.0018,0,0,0,0,0,0,0,0,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,34381.7,2.26424,4.69542,2.59884,0.00173,0,0,0,0,0,0,0,0,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,35302.1,2.26378,4.69343,2.59802,0.00165,0,0,0,0,0,0,0,0,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,36223.4,2.26488,4.69678,2.59887,0.00158,0,0,0,0,0,0,0,0,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,37145.4,2.2616,4.6943,2.59749,0.00141,0,0,0,0,0,0,0,0,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,38066.4,2.26312,4.69565,2.60027,0.00127,0,0,0,0,0,0,0,0,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,38988.9,2.26289,4.69435,2.59785,0.00143,0,0,0,0,0,0,0,0,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,39910.9,2.26116,4.69435,2.59787,0.00138,0,0,0,0,0,0,0,0,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,40831.9,2.26211,4.69327,2.59755,0.00132,0,0,0,0,0,0,0,0,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,41753,2.2611,4.69238,2.5968,0.00127,0,0,0,0,0,0,0,0,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,42674.2,2.26044,4.6946,2.59759,0.00121,0,0,0,0,0,0,0,0,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,43596.2,2.26022,4.6959,2.59797,0.00117,0,0,0,0,0,0,0,0,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,44518.2,2.2626,4.69184,2.59807,0.00111,0,0,0,0,0,0,0,0,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,45441.5,2.26153,4.69306,2.59908,0.00105,0,0,0,0,0,0,0,0,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,46362,2.25894,4.69352,2.59887,0.00101,0,0,0,0,0,0,0,0,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,47285.3,2.26108,4.69651,2.59866,0.00096,0,0,0,0,0,0,0,0,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,48205.9,2.26175,4.69458,2.59842,0.00091,0,0,0,0,0,0,0,0,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,49127.2,2.26029,4.69494,2.59736,0.00085,0,0,0,0,0,0,0,0,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,50049.1,2.26408,4.69271,2.5965,0.00078,0,0,0,0,0,0,0,0,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,50969.6,2.26132,4.69267,2.59555,0.00075,0,0,0,0,0,0,0,0,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,51890.5,2.26108,4.69349,2.59694,0.00071,0,0,0,0,0,0,0,0,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,52811.5,2.2639,4.69565,2.59591,0.00068,0,0,0,0,0,0,0,0,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,53733.3,2.26275,4.69372,2.59557,0.00062,0,0,0,0,0,0,0,0,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,54654,2.26059,4.6937,2.59487,0.00058,0,0,0,0,0,0,0,0,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,55576.8,2.25965,4.69241,2.597,0.00056,0,0,0,0,0,0,0,0,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,56498.7,2.25948,4.69297,2.59681,0.00049,0,0,0,0,0,0,0,0,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,57419.7,2.25732,4.69361,2.59709,0.00046,0,0,0,0,0,0,0,0,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,58340.8,2.25954,4.69447,2.59724,0.00043,0,0,0,0,0,0,0,0,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,59263.3,2.25779,4.69529,2.59688,0.0004,0,0,0,0,0,0,0,0,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
