epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,133.237,1.64795,1.67754,2.42747,0,0,0,0,0,0,0,0.00330601,0.00330601,0.00330601
2,242.763,1.32229,0.94697,1.90671,0,0,0,0,0,0,0,0.00657361,0.00657361,0.00657361
3,352.705,1.16483,0.77738,1.71779,0,0,0,0,0,0,0,0.00977522,0.00977522,0.00977522
4,462.236,1.04996,0.66019,1.62116,0,0,0,0,0,0,0,0.009703,0.009703,0.009703
5,572.126,0.97586,0.5928,1.56171,0,0,0,0,0,0,0,0.009604,0.009604,0.009604
6,681.949,0.9288,0.56148,1.5208,0,0,0,0,0,0,0,0.009505,0.009505,0.009505
7,791.547,0.89451,0.53833,1.49773,0,0,0,0,0,0,0,0.009406,0.009406,0.009406
8,901.271,0.87239,0.52224,1.47737,0,0,0,0,0,0,0,0.009307,0.009307,0.009307
9,1010.76,0.85102,0.50974,1.45952,0,0,0,0,0,0,0,0.009208,0.009208,0.009208
10,1120.08,0.83359,0.49795,1.44616,0,0,0,0,0,0,0,0.009109,0.009109,0.009109
11,1229.25,0.81393,0.48741,1.43143,0,0,0,0,0,0,0,0.00901,0.00901,0.00901
12,1338.99,0.80389,0.48141,1.42409,0,0,0,0,0,0,0,0.008911,0.008911,0.008911
13,1447.95,0.7951,0.47426,1.41776,0,0,0,0,0,0,0,0.008812,0.008812,0.008812
14,1558.48,0.78369,0.46733,1.40642,0,0,0,0,0,0,0,0.008713,0.008713,0.008713
15,1668.31,0.77422,0.46165,1.40196,0,0,0,0,0,0,0,0.008614,0.008614,0.008614
16,1777.15,0.76483,0.4558,1.39414,0,0,0,0,0,0,0,0.008515,0.008515,0.008515
17,1886.43,0.75782,0.45225,1.3869,0,0,0,0,0,0,0,0.008416,0.008416,0.008416
18,1995.93,0.75053,0.44773,1.38006,0,0,0,0,0,0,0,0.008317,0.008317,0.008317
19,2104.92,0.74527,0.44325,1.38058,0,0,0,0,0,0,0,0.008218,0.008218,0.008218
20,2213.76,0.73949,0.44027,1.37369,0,0,0,0,0,0,0,0.008119,0.008119,0.008119
21,2323.19,0.733,0.43654,1.37253,0,0,0,0,0,0,0,0.00802,0.00802,0.00802
22,2432.75,0.7286,0.43476,1.36776,0,0,0,0,0,0,0,0.007921,0.007921,0.007921
23,2542.33,0.71943,0.42936,1.35997,0,0,0,0,0,0,0,0.007822,0.007822,0.007822
24,2652.05,0.71787,0.42881,1.36014,0,0,0,0,0,0,0,0.007723,0.007723,0.007723
25,2761.82,0.71456,0.42671,1.35574,0,0,0,0,0,0,0,0.007624,0.007624,0.007624
26,2871.29,0.70811,0.4239,1.35473,0,0,0,0,0,0,0,0.007525,0.007525,0.007525
27,2980.39,0.70247,0.41916,1.34608,0,0,0,0,0,0,0,0.007426,0.007426,0.007426
28,3090.22,0.70034,0.41715,1.3457,0,0,0,0,0,0,0,0.007327,0.007327,0.007327
29,3199.68,0.69489,0.41548,1.34113,0,0,0,0,0,0,0,0.007228,0.007228,0.007228
30,3308.44,0.68816,0.41141,1.33568,0,0,0,0,0,0,0,0.007129,0.007129,0.007129
31,3417.06,0.68828,0.41129,1.33671,0,0,0,0,0,0,0,0.00703,0.00703,0.00703
32,3525.93,0.6842,0.41015,1.33547,0,0,0,0,0,0,0,0.006931,0.006931,0.006931
33,3635.61,0.68037,0.40754,1.3276,0,0,0,0,0,0,0,0.006832,0.006832,0.006832
34,3745.32,0.67661,0.40437,1.32471,0,0,0,0,0,0,0,0.006733,0.006733,0.006733
35,3854.58,0.6728,0.40293,1.32504,0,0,0,0,0,0,0,0.006634,0.006634,0.006634
36,3964.21,0.67142,0.40294,1.32297,0,0,0,0,0,0,0,0.006535,0.006535,0.006535
37,4073.37,0.66577,0.39979,1.31905,0,0,0,0,0,0,0,0.006436,0.006436,0.006436
38,4182.45,0.66612,0.39865,1.32096,0,0,0,0,0,0,0,0.006337,0.006337,0.006337
39,4291.64,0.66184,0.39653,1.31444,0,0,0,0,0,0,0,0.006238,0.006238,0.006238
40,4401.26,0.65949,0.39573,1.31275,0,0,0,0,0,0,0,0.006139,0.006139,0.006139
41,4510.73,0.65548,0.39175,1.31316,0,0,0,0,0,0,0,0.00604,0.00604,0.00604
42,4620.83,0.65418,0.39226,1.31024,0,0,0,0,0,0,0,0.005941,0.005941,0.005941
43,4730.05,0.65079,0.39087,1.30616,0,0,0,0,0,0,0,0.005842,0.005842,0.005842
44,4838.86,0.64749,0.38841,1.30711,0,0,0,0,0,0,0,0.005743,0.005743,0.005743
45,4947.91,0.64619,0.38794,1.30688,0,0,0,0,0,0,0,0.005644,0.005644,0.005644
46,5057.13,0.64231,0.38651,1.30199,0,0,0,0,0,0,0,0.005545,0.005545,0.005545
47,5166.36,0.63805,0.38339,1.30019,0,0,0,0,0,0,0,0.005446,0.005446,0.005446
48,5275.05,0.63767,0.38318,1.29731,0,0,0,0,0,0,0,0.005347,0.005347,0.005347
49,5384.23,0.63358,0.38106,1.29521,0,0,0,0,0,0,0,0.005248,0.005248,0.005248
50,5494.01,0.63191,0.3797,1.29425,0,0,0,0,0,0,0,0.005149,0.005149,0.005149
51,5603.71,0.62757,0.37727,1.29032,0,0,0,0,0,0,0,0.00505,0.00505,0.00505
52,5713.25,0.62609,0.37668,1.28951,0,0,0,0,0,0,0,0.004951,0.004951,0.004951
53,5822.44,0.62425,0.37607,1.29072,0,0,0,0,0,0,0,0.004852,0.004852,0.004852
54,5931.8,0.62152,0.37359,1.28717,0,0,0,0,0,0,0,0.004753,0.004753,0.004753
55,6041.38,0.61942,0.37355,1.28502,0,0,0,0,0,0,0,0.004654,0.004654,0.004654
56,6151.13,0.61655,0.37157,1.28387,0,0,0,0,0,0,0,0.004555,0.004555,0.004555
57,6261.19,0.61296,0.36945,1.28007,0,0,0,0,0,0,0,0.004456,0.004456,0.004456
58,6371.09,0.61105,0.36818,1.28005,0,0,0,0,0,0,0,0.004357,0.004357,0.004357
59,6480.49,0.60899,0.36692,1.27523,0,0,0,0,0,0,0,0.004258,0.004258,0.004258
60,6590.48,0.60507,0.36519,1.27377,0,0,0,0,0,0,0,0.004159,0.004159,0.004159
61,6700.38,0.60205,0.36357,1.27336,0,0,0,0,0,0,0,0.00406,0.00406,0.00406
62,6809.88,0.59925,0.36231,1.26932,0,0,0,0,0,0,0,0.003961,0.003961,0.003961
63,6918.67,0.59827,0.36141,1.27015,0,0,0,0,0,0,0,0.003862,0.003862,0.003862
64,7027.59,0.59453,0.36014,1.26739,0,0,0,0,0,0,0,0.003763,0.003763,0.003763
65,7136.48,0.59267,0.35856,1.26705,0,0,0,0,0,0,0,0.003664,0.003664,0.003664
66,7246.08,0.59063,0.35692,1.26363,0,0,0,0,0,0,0,0.003565,0.003565,0.003565
67,7355.89,0.58584,0.35519,1.26068,0,0,0,0,0,0,0,0.003466,0.003466,0.003466
68,7465.52,0.5859,0.35477,1.26261,0,0,0,0,0,0,0,0.003367,0.003367,0.003367
69,7574.32,0.58425,0.35407,1.2608,0,0,0,0,0,0,0,0.003268,0.003268,0.003268
70,7684.31,0.57999,0.35227,1.25878,0,0,0,0,0,0,0,0.003169,0.003169,0.003169
71,7794.96,0.57677,0.35033,1.25454,0,0,0,0,0,0,0,0.00307,0.00307,0.00307
