epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,209.559,2.45921,3.39214,2.8731,0,0,0,0,0,0,0,0.00330601,0.00330601,0.00330601
2,391.888,2.41345,3.25848,2.76726,0,0,0,0,0,0,0,0.00657361,0.00657361,0.00657361
3,576.115,2.41707,3.25563,2.73274,0,0,0,0,0,0,0,0.00977522,0.00977522,0.00977522
4,759.024,2.42139,3.25647,2.69885,0,0,0,0,0,0,0,0.009703,0.009703,0.009703
5,942.358,2.41819,3.25769,2.68251,0,0,0,0,0,0,0,0.009604,0.009604,0.009604
6,1125.78,2.42108,3.26087,2.67899,0,0,0,0,0,0,0,0.009505,0.009505,0.009505
7,1308.65,2.41556,3.25944,2.67824,0,0,0,0,0,0,0,0.009406,0.009406,0.009406
8,1491.48,2.41839,3.25989,2.67792,0,0,0,0,0,0,0,0.009307,0.009307,0.009307
9,1674.51,2.41723,3.26127,2.67395,0,0,0,0,0,0,0,0.009208,0.009208,0.009208
10,1857.98,2.4165,3.26154,2.6777,0,0,0,0,0,0,0,0.009109,0.009109,0.009109
11,2042.14,2.41409,3.25891,2.67358,0,0,0,0,0,0,0,0.00901,0.00901,0.00901
12,2226.39,2.41576,3.26228,2.67762,0,0,0,0,0,0,0,0.008911,0.008911,0.008911
13,2410.5,2.41875,3.26164,2.67466,0,0,0,0,0,0,0,0.008812,0.008812,0.008812
14,2595.39,2.41987,3.25996,2.67317,0,0,0,0,0,0,0,0.008713,0.008713,0.008713
15,2779.59,2.41602,3.26,2.67597,0,0,0,0,0,0,0,0.008614,0.008614,0.008614
16,2963.14,2.41512,3.26059,2.67558,0,0,0,0,0,0,0,0.008515,0.008515,0.008515
17,3146.56,2.41688,3.25835,2.6729,0,0,0,0,0,0,0,0.008416,0.008416,0.008416
18,3329.92,2.41811,3.26062,2.66895,0,0,0,0,0,0,0,0.008317,0.008317,0.008317
19,3512.87,2.41715,3.25937,2.67362,0,0,0,0,0,0,0,0.008218,0.008218,0.008218
20,3696.13,2.41689,3.26049,2.6714,0,0,0,0,0,0,0,0.008119,0.008119,0.008119
21,3879.64,2.41897,3.262,2.67768,0,0,0,0,0,0,0,0.00802,0.00802,0.00802
22,4064.68,2.41634,3.26293,2.6771,0,0,0,0,0,0,0,0.007921,0.007921,0.007921
23,4249.66,2.41473,3.2608,2.67491,0,0,0,0,0,0,0,0.007822,0.007822,0.007822
24,4434.03,2.41413,3.26281,2.67633,0,0,0,0,0,0,0,0.007723,0.007723,0.007723
25,4618.65,2.41678,3.26226,2.67347,0,0,0,0,0,0,0,0.007624,0.007624,0.007624
26,4802.51,2.4173,3.26069,2.67556,0,0,0,0,0,0,0,0.007525,0.007525,0.007525
27,4987.23,2.41603,3.25996,2.67261,0,0,0,0,0,0,0,0.007426,0.007426,0.007426
28,5171.05,2.41404,3.25717,2.67368,0,0,0,0,0,0,0,0.007327,0.007327,0.007327
29,5354.21,2.41705,3.26216,2.67472,0,0,0,0,0,0,0,0.007228,0.007228,0.007228
30,5537.65,2.41463,3.259,2.67394,0,0,0,0,0,0,0,0.007129,0.007129,0.007129
31,5720.68,2.41642,3.2598,2.67491,0,0,0,0,0,0,0,0.00703,0.00703,0.00703
32,5904.56,2.41543,3.26232,2.67688,0,0,0,0,0,0,0,0.006931,0.006931,0.006931
33,6088.24,2.41566,3.25819,2.67101,0,0,0,0,0,0,0,0.006832,0.006832,0.006832
34,6272.46,2.41663,3.25814,2.66861,0,0,0,0,0,0,0,0.006733,0.006733,0.006733
35,6456.86,2.41587,3.2614,2.6776,0,0,0,0,0,0,0,0.006634,0.006634,0.006634
36,6641.5,2.41736,3.26156,2.67537,0,0,0,0,0,0,0,0.006535,0.006535,0.006535
37,6826.21,2.41447,3.26121,2.67257,0,0,0,0,0,0,0,0.006436,0.006436,0.006436
38,7010.92,2.4147,3.26072,2.67555,0,0,0,0,0,0,0,0.006337,0.006337,0.006337
39,7195.78,2.41771,3.2602,2.67155,0,0,0,0,0,0,0,0.006238,0.006238,0.006238
40,7380.32,2.41674,3.26026,2.67413,0,0,0,0,0,0,0,0.006139,0.006139,0.006139
41,7563.93,2.41187,3.2572,2.67341,0,0,0,0,0,0,0,0.00604,0.00604,0.00604
42,7747.35,2.4169,3.26066,2.67179,0,0,0,0,0,0,0,0.005941,0.005941,0.005941
43,7930.85,2.4193,3.26031,2.67212,0,0,0,0,0,0,0,0.005842,0.005842,0.005842
44,8114.87,2.41153,3.26048,2.67578,0,0,0,0,0,0,0,0.005743,0.005743,0.005743
45,8299.96,2.41347,3.26087,2.67818,0,0,0,0,0,0,0,0.005644,0.005644,0.005644
46,8484.7,2.41603,3.26032,2.67018,0,0,0,0,0,0,0,0.005545,0.005545,0.005545
47,8670.36,2.4146,3.26022,2.67546,0,0,0,0,0,0,0,0.005446,0.005446,0.005446
48,8855.76,2.41647,3.26007,2.67558,0,0,0,0,0,0,0,0.005347,0.005347,0.005347
49,9040.91,2.4162,3.25999,2.67446,0,0,0,0,0,0,0,0.005248,0.005248,0.005248
50,9224.93,2.41569,3.25824,2.6717,0,0,0,0,0,0,0,0.005149,0.005149,0.005149
51,9408.67,2.41672,3.25735,2.67351,0,0,0,0,0,0,0,0.00505,0.00505,0.00505
52,9592.65,2.41386,3.25979,2.67343,0,0,0,0,0,0,0,0.004951,0.004951,0.004951
53,9776.13,2.41511,3.2609,2.67567,0,0,0,0,0,0,0,0.004852,0.004852,0.004852
54,9959.45,2.41619,3.25988,2.67451,0,0,0,0,0,0,0,0.004753,0.004753,0.004753
55,10143.8,2.4144,3.25848,2.66678,0,0,0,0,0,0,0,0.004654,0.004654,0.004654
56,10368.5,2.41508,3.26078,2.67333,0,0,0,0,0,0,0,0.004555,0.004555,0.004555
57,10554,2.4168,3.26046,2.67214,0,0,0,0,0,0,0,0.004456,0.004456,0.004456
58,10739,2.41539,3.259,2.67298,0,0,0,0,0,0,0,0.004357,0.004357,0.004357
59,10924.2,2.41677,3.2601,2.67114,0,0,0,0,0,0,0,0.004258,0.004258,0.004258
60,11109.5,2.41812,3.25957,2.67161,0,0,0,0,0,0,0,0.004159,0.004159,0.004159
61,11294.2,2.41696,3.25919,2.67646,0,0,0,0,0,0,0,0.00406,0.00406,0.00406
62,11479.2,2.41693,3.26022,2.67214,0,0,0,0,0,0,0,0.003961,0.003961,0.003961
63,11662.4,2.41471,3.25948,2.67256,0,0,0,0,0,0,0,0.003862,0.003862,0.003862
