epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,225.353,3.49808,3.33363,4.01543,0,0,0,0,0,0,0,0.00330601,0.00330601,0.00330601
2,415.275,2.64623,3.0721,3.25671,0,0,0,0,0,0,0,0.00663277,0.00663277,0.00663277
3,614.071,2.46247,2.94696,2.99844,0,0,0,0,0,0,0,0.00995293,0.00995293,0.00995293
4,812.242,2.38105,2.71703,2.92562,0,0,0,0,0,0,0,0.0099703,0.0099703,0.0099703
5,1007.83,2.33951,2.4337,2.8949,0,0,0,0,0,0,0,0.0099604,0.0099604,0.0099604
6,1205.62,2.28169,2.28229,2.88004,0,0,0,0,0,0,0,0.0099505,0.0099505,0.0099505
7,1399.34,2.22871,2.20739,2.79785,0,0,0,0,0,0,0,0.0099406,0.0099406,0.0099406
8,1584.15,2.1531,2.16113,2.68742,0,0,0,0,0,0,0,0.0099307,0.0099307,0.0099307
9,1779.29,2.1123,2.06611,2.64763,0,0,0,0,0,0,0,0.0099208,0.0099208,0.0099208
10,1981.74,2.09627,2.02144,2.64014,0,0,0,0,0,0,0,0.0099109,0.0099109,0.0099109
11,2167.29,2.06506,1.94617,2.61888,0,0,0,0,0,0,0,0.009901,0.009901,0.009901
12,2364.43,2.04484,1.88195,2.60555,0,0,0,0,0,0,0,0.0098911,0.0098911,0.0098911
13,2556.36,2.02382,1.83592,2.58531,0,0,0,0,0,0,0,0.0098812,0.0098812,0.0098812
14,2750.74,2.04379,1.88745,2.60595,0,0,0,0,0,0,0,0.0098713,0.0098713,0.0098713
15,2932.72,2.0298,1.87557,2.59663,0,0,0,0,0,0,0,0.0098614,0.0098614,0.0098614
16,3123.26,1.99701,1.7735,2.57301,0,0,0,0,0,0,0,0.0098515,0.0098515,0.0098515
17,3307.58,1.97154,1.73793,2.55109,0,0,0,0,0,0,0,0.0098416,0.0098416,0.0098416
18,3502.87,1.9816,1.81066,2.57083,0,0,0,0,0,0,0,0.0098317,0.0098317,0.0098317
19,3687.08,1.97696,1.78759,2.56603,0,0,0,0,0,0,0,0.0098218,0.0098218,0.0098218
20,3875.14,1.97082,1.77301,2.56586,0,0,0,0,0,0,0,0.0098119,0.0098119,0.0098119
21,4061.67,1.99977,1.86511,2.57656,0,0,0,0,0,0,0,0.009802,0.009802,0.009802
22,4248.46,1.9646,1.75592,2.54937,0,0,0,0,0,0,0,0.0097921,0.0097921,0.0097921
23,4433.1,1.95302,1.78623,2.54864,0,0,0,0,0,0,0,0.0097822,0.0097822,0.0097822
24,4618.04,1.9787,1.84767,2.56072,0,0,0,0,0,0,0,0.0097723,0.0097723,0.0097723
25,4802.36,1.91984,1.70225,2.51769,0,0,0,0,0,0,0,0.0097624,0.0097624,0.0097624
26,4988.92,1.92399,1.70724,2.51638,0,0,0,0,0,0,0,0.0097525,0.0097525,0.0097525
27,5173.99,1.93491,1.7314,2.53293,0,0,0,0,0,0,0,0.0097426,0.0097426,0.0097426
28,5362.59,1.91843,1.68096,2.51307,0,0,0,0,0,0,0,0.0097327,0.0097327,0.0097327
29,5548.68,1.91411,1.69993,2.51217,0,0,0,0,0,0,0,0.0097228,0.0097228,0.0097228
30,5734.79,1.90872,1.67711,2.50123,0,0,0,0,0,0,0,0.0097129,0.0097129,0.0097129
31,5919.01,1.88492,1.6107,2.48523,0,0,0,0,0,0,0,0.009703,0.009703,0.009703
32,6104.94,1.88828,1.63011,2.48595,0,0,0,0,0,0,0,0.0096931,0.0096931,0.0096931
33,6287.92,1.90941,1.69528,2.51116,0,0,0,0,0,0,0,0.0096832,0.0096832,0.0096832
34,6475.61,1.86676,1.58288,2.46156,0,0,0,0,0,0,0,0.0096733,0.0096733,0.0096733
35,6663.73,1.84949,1.52662,2.44818,0,0,0,0,0,0,0,0.0096634,0.0096634,0.0096634
36,6850.3,1.84361,1.52096,2.44337,0,0,0,0,0,0,0,0.0096535,0.0096535,0.0096535
37,7036.8,1.83335,1.49522,2.42917,0,0,0,0,0,0,0,0.0096436,0.0096436,0.0096436
