epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,136.979,3.03976,3.0653,3.75011,0,0,0,0,0,0,0,0.00330601,0.00330601,0.00330601
2,245.331,2.13642,1.83275,2.84622,0,0,0,0,0,0,0,0.00657361,0.00657361,0.00657361
3,353.663,1.74921,1.21058,2.42795,0,0,0,0,0,0,0,0.00977522,0.00977522,0.00977522
4,461.205,1.48675,0.88684,2.13302,0,0,0,0,0,0,0,0.009703,0.009703,0.009703
5,569.729,1.34613,0.7288,1.98064,0,0,0,0,0,0,0,0.009604,0.009604,0.009604
6,678.774,1.26322,0.66501,1.89676,0,0,0,0,0,0,0,0.009505,0.009505,0.009505
7,786.912,1.18882,0.62998,1.85295,0,0,0,0,0,0,0,0.009406,0.009406,0.009406
8,895.637,1.13968,0.60404,1.82526,0,0,0,0,0,0,0,0.009307,0.009307,0.009307
9,1003.85,1.10039,0.58087,1.7984,0,0,0,0,0,0,0,0.009208,0.009208,0.009208
10,1112.5,1.07212,0.56696,1.77672,0,0,0,0,0,0,0,0.009109,0.009109,0.009109
11,1221.47,1.04285,0.5527,1.75325,0,0,0,0,0,0,0,0.00901,0.00901,0.00901
12,1330.02,1.0237,0.54425,1.74764,0,0,0,0,0,0,0,0.008911,0.008911,0.008911
13,1438.71,1.00354,0.53265,1.72895,0,0,0,0,0,0,0,0.008812,0.008812,0.008812
14,1547.03,0.98583,0.52532,1.71379,0,0,0,0,0,0,0,0.008713,0.008713,0.008713
15,1655.94,0.97097,0.51782,1.70574,0,0,0,0,0,0,0,0.008614,0.008614,0.008614
16,1764.98,0.95627,0.50991,1.69429,0,0,0,0,0,0,0,0.008515,0.008515,0.008515
17,1874.34,0.94329,0.50436,1.6813,0,0,0,0,0,0,0,0.008416,0.008416,0.008416
18,1983.74,0.93274,0.50005,1.67584,0,0,0,0,0,0,0,0.008317,0.008317,0.008317
19,2092.3,0.92011,0.49415,1.67362,0,0,0,0,0,0,0,0.008218,0.008218,0.008218
20,2201.63,0.90814,0.48898,1.66296,0,0,0,0,0,0,0,0.008119,0.008119,0.008119
21,2311.74,0.90063,0.48529,1.66357,0,0,0,0,0,0,0,0.00802,0.00802,0.00802
22,2420.59,0.891,0.48056,1.66136,0,0,0,0,0,0,0,0.007921,0.007921,0.007921
23,2529.28,0.87824,0.47367,1.64342,0,0,0,0,0,0,0,0.007822,0.007822,0.007822
24,2638.13,0.87448,0.47268,1.64688,0,0,0,0,0,0,0,0.007723,0.007723,0.007723
25,2746.88,0.86818,0.46825,1.63871,0,0,0,0,0,0,0,0.007624,0.007624,0.007624
26,2855.51,0.85981,0.46528,1.63715,0,0,0,0,0,0,0,0.007525,0.007525,0.007525
27,2963.48,0.85266,0.46017,1.62776,0,0,0,0,0,0,0,0.007426,0.007426,0.007426
28,3071.24,0.84682,0.45744,1.62267,0,0,0,0,0,0,0,0.007327,0.007327,0.007327
29,3179.77,0.8403,0.45515,1.61738,0,0,0,0,0,0,0,0.007228,0.007228,0.007228
30,3287.87,0.83085,0.45092,1.61046,0,0,0,0,0,0,0,0.007129,0.007129,0.007129
