epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,206.775,3.64185,3.70805,4.19425,0,0,0,0,0,0,0,0.00330601,0.00330601,0.00330601
2,386.606,3.29283,3.28401,3.88336,0,0,0,0,0,0,0,0.00657361,0.00657361,0.00657361
3,566.194,2.53573,3.16768,3.00435,0,0,0,0,0,0,0,0.00977522,0.00977522,0.00977522
4,745.817,2.47859,3.19519,2.86902,0,0,0,0,0,0,0,0.009703,0.009703,0.009703
5,925.651,2.45704,3.21531,2.83113,0,0,0,0,0,0,0,0.009604,0.009604,0.009604
6,1105.33,2.44491,3.22734,2.77322,0,0,0,0,0,0,0,0.009505,0.009505,0.009505
7,1284.88,2.44112,3.22425,2.75998,0,0,0,0,0,0,0,0.009406,0.009406,0.009406
8,1464.54,2.44302,3.22461,2.75931,0,0,0,0,0,0,0,0.009307,0.009307,0.009307
9,1643.88,2.44115,3.22732,2.75095,0,0,0,0,0,0,0,0.009208,0.009208,0.009208
10,1823.66,2.44052,3.22663,2.74913,0,0,0,0,0,0,0,0.009109,0.009109,0.009109
11,2003.06,2.43812,3.22507,2.74529,0,0,0,0,0,0,0,0.00901,0.00901,0.00901
12,2182.08,2.43914,3.2269,2.75413,0,0,0,0,0,0,0,0.008911,0.008911,0.008911
13,2361.12,2.4411,3.22742,2.74912,0,0,0,0,0,0,0,0.008812,0.008812,0.008812
14,2540.29,2.4436,3.22553,2.74592,0,0,0,0,0,0,0,0.008713,0.008713,0.008713
15,2719.57,2.43885,3.22621,2.74838,0,0,0,0,0,0,0,0.008614,0.008614,0.008614
16,2899.1,2.43902,3.22627,2.75104,0,0,0,0,0,0,0,0.008515,0.008515,0.008515
17,3078.43,nan,nan,nan,0,0,0,0,0,0,0,0.008416,0.008416,0.008416
18,3257.23,nan,nan,nan,0,0,0,0,0,0,0,0.008317,0.008317,0.008317
19,3436.06,nan,nan,nan,0,0,0,0,0,0,0,0.008218,0.008218,0.008218
20,3614.37,nan,nan,nan,0,0,0,0,0,0,0,0.008119,0.008119,0.008119
21,3792.44,nan,nan,nan,0,0,0,0,0,0,0,0.00802,0.00802,0.00802
22,3970.5,nan,nan,nan,0,0,0,0,0,0,0,0.007921,0.007921,0.007921
23,4148.8,nan,nan,nan,0,0,0,0,0,0,0,0.007822,0.007822,0.007822
24,4327.51,nan,nan,nan,0,0,0,0,0,0,0,0.007723,0.007723,0.007723
25,4507.21,nan,nan,nan,0,0,0,0,0,0,0,0.007624,0.007624,0.007624
26,4687.59,nan,nan,nan,0,0,0,0,0,0,0,0.007525,0.007525,0.007525
27,4866.66,nan,nan,nan,0,0,0,0,0,0,0,0.007426,0.007426,0.007426
28,5045.22,nan,nan,nan,0,0,0,0,0,0,0,0.007327,0.007327,0.007327
29,5224.46,nan,nan,nan,0,0,0,0,0,0,0,0.007228,0.007228,0.007228
30,5403.69,nan,nan,nan,0,0,0,0,0,0,0,0.007129,0.007129,0.007129
31,5582.3,nan,nan,nan,0,0,0,0,0,0,0,0.00703,0.00703,0.00703
32,5760.7,nan,nan,nan,0,0,0,0,0,0,0,0.006931,0.006931,0.006931
33,5939.02,nan,nan,nan,0,0,0,0,0,0,0,0.006832,0.006832,0.006832
34,6117.73,nan,nan,nan,0,0,0,0,0,0,0,0.006733,0.006733,0.006733
35,6296.62,nan,nan,nan,0,0,0,0,0,0,0,0.006634,0.006634,0.006634
36,6474.74,nan,nan,nan,0,0,0,0,0,0,0,0.006535,0.006535,0.006535
37,6653.53,nan,nan,nan,0,0,0,0,0,0,0,0.006436,0.006436,0.006436
38,6831.52,nan,nan,nan,0,0,0,0,0,0,0,0.006337,0.006337,0.006337
39,7009.76,nan,nan,nan,0,0,0,0,0,0,0,0.006238,0.006238,0.006238
40,7188.4,nan,nan,nan,0,0,0,0,0,0,0,0.006139,0.006139,0.006139
41,7366.52,nan,nan,nan,0,0,0,0,0,0,0,0.00604,0.00604,0.00604
42,7545.23,nan,nan,nan,0,0,0,0,0,0,0,0.005941,0.005941,0.005941
43,7724.25,nan,nan,nan,0,0,0,0,0,0,0,0.005842,0.005842,0.005842
44,7902.62,nan,nan,nan,0,0,0,0,0,0,0,0.005743,0.005743,0.005743
45,8081.44,nan,nan,nan,0,0,0,0,0,0,0,0.005644,0.005644,0.005644
46,8260.96,nan,nan,nan,0,0,0,0,0,0,0,0.005545,0.005545,0.005545
47,8440.71,nan,nan,nan,0,0,0,0,0,0,0,0.005446,0.005446,0.005446
48,8619.73,nan,nan,nan,0,0,0,0,0,0,0,0.005347,0.005347,0.005347
49,8798.6,nan,nan,nan,0,0,0,0,0,0,0,0.005248,0.005248,0.005248
50,8977.34,nan,nan,nan,0,0,0,0,0,0,0,0.005149,0.005149,0.005149
51,9156.29,nan,nan,nan,0,0,0,0,0,0,0,0.00505,0.00505,0.00505
52,9335.92,nan,nan,nan,0,0,0,0,0,0,0,0.004951,0.004951,0.004951
53,9514.64,nan,nan,nan,0,0,0,0,0,0,0,0.004852,0.004852,0.004852
54,9693.85,nan,nan,nan,0,0,0,0,0,0,0,0.004753,0.004753,0.004753
55,9872.39,nan,nan,nan,0,0,0,0,0,0,0,0.004654,0.004654,0.004654
56,10050.5,nan,nan,nan,0,0,0,0,0,0,0,0.004555,0.004555,0.004555
57,10229.2,nan,nan,nan,0,0,0,0,0,0,0,0.004456,0.004456,0.004456
